No,Uraian Kegiatan,Volume / Satuan,Harga Satuan,Penyelenggara Robotik (6 Lokasi)
A. BIAYA PERSONEL,,,,
1,Ketua Tim Pelaksana,4 bln x 4 jam (dibagi rata),Rp 900.000,Rp 14.400.000
2,Tim Program Koding KA Robotika,Proporsional (dibagi rata),Rp 5.000.000,Rp 133.333.334
3,Koordinator Wilayah,1 org x 12 jam x 4 bln,Rp 900.000,Rp 43.200.000
4,Fasilitator Koding & KA (SMP & SMA),Per Fasilitator x 4 bln,Rp 5.729.876,Rp 137.517.024
5,Tenaga Administrasi,1 org x 4 bln,Rp 5.729.876,Rp 22.919.504
,SUBTOTAL BIAYA PERSONEL (A),,,Rp 351.369.862
B. BIAYA NONPERSONEL,,,,
1a,Laporan Pendahuluan,1 salinan x 1 kali,Rp 150.000,Rp 150.000
1b,Laporan Bulanan,1 lap x 3 kali x jumlah fasilitator,Rp 200.000,Rp 3.600.000
1c,Laporan Akhir,1 salinan x 1 kali,Rp 500.000,Rp 500.000
2a,Perjalanan Dinas Korwil - Transportasi,Sesuai lokasi x 1 PP x 2 kunjungan,Rp 7.500.000,Rp 90.000.000
2b,Perjalanan Dinas Korwil - Uang Harian,Sesuai lokasi x 3 hari x 2 kunjungan,Rp 400.000,Rp 14.400.000
2c,Perjalanan Dinas Korwil - Uang Penginapan,Sesuai lokasi x 2 malam x 2 kunjungan,Rp 600.000,Rp 14.400.000
3a,Biaya Perjalanan Pindah Fasilitator (Transport PP),Per orang fasilitator,Rp 7.500.000,Rp 45.000.000
3b,Bantuan Sewa Rumah Fasilitator,Per orang x 4 bln,Rp 2.000.000,Rp 48.000.000
4a,Pelatihan In oleh Tim Program (Narasumber),106 jam (dibagi rata 3 tim),Rp 200.000,Rp 21.200.000
4b,Biaya Sertifikasi Internasional STEM.org,Per orang fasilitator,Rp 4.000.000,Rp 24.000.000
4c,Akomodasi Pelatihan/ToT,Per orang x 14 hari x 1 kali,Rp 160.000,Rp 13.440.000
5a,Langganan LMS KKA/Robotika,Sesuai lokasi x 4 bln x 85 akun,Rp 55.000,Rp 112.200.000
6a,Pembinaan Kompetisi Coding & Robotika,Sesuai lokasi x 15 pert x 2 lomba,Rp 700.000,Rp 126.000.000
6b,Biaya Transport Lokal Kompetisi,Sesuai lokasi x 15 pert x 2 lomba,Rp 150.000,Rp 27.000.000
7a,ATK - Kertas,1 tim x 1 paket,Rp 500.000,Rp 500.000
7b,ATK - Tinta printer,1 tim x 1 paket,Rp 500.000,Rp 500.000
7c,Penyimpanan lepas (HDD) 1 TB,1 tim x 1 unit,Rp 3.500.000,Rp 3.500.000
7d,Langganan video conference,1 tim x 4 bln,Rp 265.000,Rp 1.060.000
,SUBTOTAL BIAYA NONPERSONEL (B),,,Rp 550.550.000
RINGKASAN,,,,
,TOTAL BIAYA (A + B),,,Rp 901.919.862
,PPN (11%),,,Rp 99.211.185
,PPh Pasal 23 (2%),,,Rp 18.038.397
,TOTAL + PPN,,,Rp 1.001.131.047

